InventoryID,StoreID,ProductID,StockQuantity,ReorderLevel,LastRestockDate
1,1,1,65,20,2026-07-20 00:00:00
2,1,2,40,20,2026-07-20 00:00:00
3,1,3,86,20,2026-07-20 00:00:00
4,1,4,84,20,2026-07-20 00:00:00
5,1,5,45,20,2026-07-20 00:00:00
6,1,6,112,20,2026-07-20 00:00:00
7,1,7,115,20,2026-07-20 00:00:00
8,1,8,85,20,2026-07-20 00:00:00
9,1,9,36,20,2026-07-20 00:00:00
10,1,10,39,20,2026-07-20 00:00:00
11,1,11,134,20,2026-07-20 00:00:00
12,1,12,90,20,2026-07-20 00:00:00
13,1,13,12,20,2026-07-20 00:00:00
14,1,14,38,20,2026-07-20 00:00:00
15,1,15,25,20,2026-07-20 00:00:00
16,1,16,120,20,2026-07-20 00:00:00
17,1,17,53,20,2026-07-20 00:00:00
18,1,18,37,20,2026-07-20 00:00:00
19,1,19,76,20,2026-07-20 00:00:00
20,1,20,148,20,2026-07-20 00:00:00
21,1,21,86,20,2026-07-20 00:00:00
22,1,22,82,20,2026-07-20 00:00:00
23,1,23,97,20,2026-07-20 00:00:00
24,1,24,12,20,2026-07-20 00:00:00
25,1,25,94,20,2026-07-20 00:00:00
26,1,26,110,20,2026-07-20 00:00:00
27,1,27,2,20,2026-07-20 00:00:00
28,1,28,0,20,2026-07-20 00:00:00
29,1,29,93,20,2026-07-20 00:00:00
30,1,30,136,20,2026-07-20 00:00:00
31,1,31,93,20,2026-07-20 00:00:00
32,1,32,122,20,2026-07-20 00:00:00
33,1,33,56,20,2026-07-20 00:00:00
34,1,34,121,20,2026-07-20 00:00:00
35,1,35,45,20,2026-07-20 00:00:00
36,1,36,18,20,2026-07-20 00:00:00
37,1,37,143,20,2026-07-20 00:00:00
38,1,38,52,20,2026-07-20 00:00:00
39,1,39,135,20,2026-07-20 00:00:00
40,1,40,101,20,2026-07-20 00:00:00
41,1,41,133,20,2026-07-20 00:00:00
42,1,42,47,20,2026-07-20 00:00:00
43,1,43,52,20,2026-07-20 00:00:00
44,1,44,96,20,2026-07-20 00:00:00
45,1,45,113,20,2026-07-20 00:00:00
46,1,46,62,20,2026-07-20 00:00:00
47,1,47,40,20,2026-07-20 00:00:00
48,1,48,63,20,2026-07-20 00:00:00
49,1,49,67,20,2026-07-20 00:00:00
50,1,50,59,20,2026-07-20 00:00:00
51,1,51,81,20,2026-07-20 00:00:00
52,1,52,73,20,2026-07-20 00:00:00
53,1,53,44,20,2026-07-20 00:00:00
54,1,54,94,20,2026-07-20 00:00:00
55,1,55,127,20,2026-07-20 00:00:00
56,1,56,102,20,2026-07-20 00:00:00
57,1,57,89,20,2026-07-20 00:00:00
58,1,58,43,20,2026-07-20 00:00:00
59,1,59,101,20,2026-07-20 00:00:00
60,1,60,133,20,2026-07-20 00:00:00
61,1,61,109,20,2026-07-20 00:00:00
62,1,62,31,20,2026-07-20 00:00:00
63,1,63,26,20,2026-07-20 00:00:00
64,1,64,10,20,2026-07-20 00:00:00
65,1,65,76,20,2026-07-20 00:00:00
66,1,66,60,20,2026-07-20 00:00:00
67,1,67,26,20,2026-07-20 00:00:00
68,1,68,143,20,2026-07-20 00:00:00
69,1,69,42,20,2026-07-20 00:00:00
70,1,70,75,20,2026-07-20 00:00:00
71,1,71,82,20,2026-07-20 00:00:00
72,1,72,125,20,2026-07-20 00:00:00
73,1,73,73,20,2026-07-20 00:00:00
74,1,74,80,20,2026-07-20 00:00:00
75,1,75,129,20,2026-07-20 00:00:00
76,1,76,72,20,2026-07-20 00:00:00
77,1,77,62,20,2026-07-20 00:00:00
78,1,78,39,20,2026-07-20 00:00:00
79,1,79,94,20,2026-07-20 00:00:00
80,1,80,116,20,2026-07-20 00:00:00
81,1,81,41,20,2026-07-20 00:00:00
82,1,82,31,20,2026-07-20 00:00:00
83,1,83,82,20,2026-07-20 00:00:00
84,1,84,86,20,2026-07-20 00:00:00
85,1,85,31,20,2026-07-20 00:00:00
86,1,86,145,20,2026-07-20 00:00:00
87,1,87,120,20,2026-07-20 00:00:00
88,1,88,7,20,2026-07-20 00:00:00
89,1,89,28,20,2026-07-20 00:00:00
90,1,90,50,20,2026-07-20 00:00:00
91,1,91,54,20,2026-07-20 00:00:00
92,1,92,119,20,2026-07-20 00:00:00
93,1,93,59,20,2026-07-20 00:00:00
94,1,94,142,20,2026-07-20 00:00:00
95,1,95,37,20,2026-07-20 00:00:00
96,1,96,142,20,2026-07-20 00:00:00
